PORT CODE,DATE,IEC,HS CODE,GOODS DESCRIPTION,Master category,Model Name,Model Number,Capacity,Qty,Unit of measure,Price,Unit of measure2,QUANTITY,UNIT,UNIT PRICE_INR,TOTAL VALUE_INR,UNIT PRICE_USD,TOTAL VALUE_USD,DUTY PAID_INR,Grand Total_INR,Year,Main Category,Sub Category
INNSA1,2021-04-09,0301049751,73239990,STEEL HAND BLENDER RS-02 (24820 PCS USD 0.45410 PER PCS),,HAND BLENDER RS-02,24820 PCS USD 0.45410 PER PCS,,,#VALUE!,0.45410,#VALUE!,1489.2,KGS ,628.8742882,936519.59,8.481109753,12630.06864,343140.8,637.355398,2021,Household Steel Items,Other
INNSA1,2021-04-09,0301049751,73239990,STEEL SALT BOTTLE NP-19 (QTY:16944 PCS USD 0.49600 PER PCS),,SALT BOTTLE NP-19,STEEL,16944,#N/A,#N/A,0.49600,#N/A,2647.5,KGS ,263.7697828,698330.5,3.557245891,9417.808496,255868.3,267.3270287,2021,Household Steel Items,Other
INNSA1,2021-04-01,0301049751,73239990,STAINLESS STEEL GRATER WITH HANDLE HEXA - KL326D-9S (MILD STEEL) (QTY - 37680 PCS/USD 0.96 PER PCS),,STEEL GRATER WITH HANDLE HEXA - KL326D-9S (MILD STEEL),MILD STEEL,,#VALUE!,PCS,0.96,PCS,8635,KGS ,331.9784528,2866633.94,4.525950277,39081.58064,1050334.7,336.5044031,2021,Household Steel Items,Other
INNSA1,2021-03-27,0301049751,73239990,8505 STEEL LUNCH BOX 3LAYER ( 16800 NOS) (MILD STEEL),8505,STEEL LUNCH BOX 3LAYER, 16800 NOS,,,#VALUE!, ,#VALUE!,10892,KGS,412.3013863,4490786.7,5.621014129,61224.08589,1645424.2,417.9224005,2021,Household Steel Items,Lunch Box
INNSA1,2021-03-26,0301049751,73239990,FAMILY CLOTH RACK 3LAYERS [MADE UP OF MILD STEEL] - 03-027I (QTY : 1824 PCS / CNY 79.00 PER PCS),,CLOTH RACK 3LAYERS [MADE UP OF MILD STEEL] - 03-027I,FAMILY,,#VALUE!,PCS, ,PCS,10488,KGS,178.913524,1876445.04,2.439175515,25582.0728,687529.5,181.3526995,2021,Household Steel Items,Other
INNSA1,2021-03-25,0301049751,73239990,MILD STEEL MULTI FUNCTION CLOTH STAND - RYX-02-020 (QTY : 3696 NUM / USD 14.20 PER NUM),MILD,STEEL MULTI FUNCTION CLOTH STAND - RYX-02-020,MILD,,#VALUE!,NUM,14.20,OTHER,12012,KGS,380.0983566,4565741.46,5.181981686,62245.96401,1672887.7,385.2803383,2021,Household Steel Items,Cloth Stand
INNSA1,2021-03-23,0301049751,73239990,STEEL SALT BOTTLE NP-19 (QTY:10080 PCS USD 0.4976 PER PCS),,SALT BOTTLE NP-19,STEEL,10080,#N/A,#N/A,0.4976,#N/A,1575,KGS,251.7685587,396535.48,3.432427522,5406.073347,145290.6,255.2009863,2021,Household Steel Items,Other
INNSA1,2021-03-23,0301049751,73239990,STEEL TEA STRAINER BIG SB-12 (QTY:20376 USD 1.2052 PER PCS),,TEA STRAINER BIG SB-12,STEEL,20376,#N/A,#N/A,1.2052,#N/A,4839.3,KGS,401.1775112,1941418.33,5.469359389,26467.87089,711335.7,406.6468706,2021,Household Steel Items,Tea Strainer
INNSA1,2021-03-16,0301049751,73239990,MILD STEEL MULTI FUNCTION CLOTH STAND - RYX-02-021A (QTY : 3888 NUM/ USD 8.85 PER NUM),MILD,STEEL MULTI FUNCTION CLOTH STAND - RYX-02-021A,MILD,,#VALUE!,NUM,8.85,OTHER,14256,KGS,228.9526543,3263949.04,3.098141466,44167.10474,1195910.9,232.0507958,2021,Household Steel Items,Cloth Stand
INNSA1,2021-03-16,0301049751,73239990,KW-830 STAINLESS STEEL SPORT BOTTLE 1000ML (QTY 34164 PCS / USD 0.90 PER PCS),KW-830,STAINLESS STEEL SPORT BOTTLE 1000ML,KW-830,,34164,PCS,0.90,PCS,6950,KGS,359.4520259,2498191.58,4.864032827,33805.02815,915337.4,364.3160587,2021,Household Steel Items,Other
INNSA1,2021-03-03,0301049751,73239990,STEEL SALT BOTTLE - NP-19 (QTY- 17808 PCS/USD 0.4984 PER PCS),,SALT BOTTLE - NP-19,STEEL,,#VALUE!,PCS,0.4984,PCS,2782.5,KGS,253.98708,706719.05,3.446229036,9589.132293,258941.9,257.433309,2021,Household Steel Items,Other
INNSA1,2021-03-03,0301049751,73239990,STEEL TEA STRAINER BIG - SB-12 (QTY: 4104 PCS/USD 1.2071 PER PCS),,TEA STRAINER BIG - SB-12,STEEL,,4104,PCS,1.2071,PCS,974.7,KGS,404.7000513,394461.14,5.491181157,5352.254274,144530.5,410.1912325,2021,Household Steel Items,Tea Strainer
INNSA1,2021-03-03,0301049751,73239990,STEEL HAND BLENDER - RS-02 (QTY: 25180 PCS/USD 0.4548 PER PCS),,HAND BLENDER - RS-02,STEEL,,25180,PCS,0.4548,PCS,1510.8,KGS,603.5628674,911862.78,8.189455459,12372.62931,334106.6,611.7523228,2021,Household Steel Items,Other
INNSA1,2021-03-03,0301049751,73239990,STEEL ZHARA - NP-003 (QTY: 5640 PCS/USD 0.4563 PER PCS),,ZHARA - NP-003,STEEL,,5640,PCS,0.4563,PCS,526.4,KGS,389.2845935,204919.41,5.282016194,2780.453324,75082.5,394.5666097,2021,Household Steel Items,Other
